task,cohort,feature_policy,model,fold,train_samples,val_samples,accuracy,precision,recall,f1_score,specificity,roc_auc
TASK_2_BINARY_HARDWARE,ACCUMULATED_89,PRODUCTION_T0,Linear_SVM,2,71,18,1.0,1.0,1.0,1.0,1.0,1.0
TASK_2_BINARY_HARDWARE,ACCUMULATED_89,PRODUCTION_T0,Linear_SVM,3,71,18,1.0,1.0,1.0,1.0,1.0,1.0
TASK_2_BINARY_HARDWARE,ACCUMULATED_89,PRODUCTION_T0,Linear_SVM,4,71,18,1.0,1.0,1.0,1.0,1.0,1.0
TASK_2_BINARY_HARDWARE,ACCUMULATED_89,PRODUCTION_T0,Linear_SVM,5,72,17,1.0,1.0,1.0,1.0,1.0,1.0
TASK_2_BINARY_HARDWARE,ACCUMULATED_89,PRODUCTION_T0,Decision_Tree,1,71,18,1.0,1.0,1.0,1.0,1.0,1.0
TASK_2_BINARY_HARDWARE,ACCUMULATED_89,PRODUCTION_T0,Decision_Tree,2,71,18,1.0,1.0,1.0,1.0,1.0,1.0
TASK_2_BINARY_HARDWARE,ACCUMULATED_89,PRODUCTION_T0,Decision_Tree,3,71,18,1.0,1.0,1.0,1.0,1.0,1.0
TASK_2_BINARY_HARDWARE,ACCUMULATED_89,PRODUCTION_T0,Decision_Tree,4,71,18,1.0,1.0,1.0,1.0,1.0,1.0
TASK_2_BINARY_HARDWARE,ACCUMULATED_89,PRODUCTION_T0,Decision_Tree,5,72,17,1.0,1.0,1.0,1.0,1.0,1.0
TASK_2_BINARY_HARDWARE,ACCUMULATED_89,PRODUCTION_T0,Random_Forest,1,71,18,1.0,1.0,1.0,1.0,1.0,1.0
TASK_2_BINARY_HARDWARE,ACCUMULATED_89,PRODUCTION_T0,Random_Forest,2,71,18,1.0,1.0,1.0,1.0,1.0,1.0
TASK_2_BINARY_HARDWARE,ACCUMULATED_89,PRODUCTION_T0,Random_Forest,3,71,18,1.0,1.0,1.0,1.0,1.0,1.0
TASK_2_BINARY_HARDWARE,ACCUMULATED_89,PRODUCTION_T0,Random_Forest,4,71,18,1.0,1.0,1.0,1.0,1.0,1.0
TASK_2_BINARY_HARDWARE,ACCUMULATED_89,PRODUCTION_T0,Random_Forest,5,72,17,1.0,1.0,1.0,1.0,1.0,1.0
TASK_2_BINARY_HARDWARE,ACCUMULATED_89,ORACLE_PERMISSION_ABLATION,Logistic_Regression,1,71,18,1.0,1.0,1.0,1.0,1.0,1.0
TASK_2_BINARY_HARDWARE,ACCUMULATED_89,ORACLE_PERMISSION_ABLATION,Logistic_Regression,2,71,18,1.0,1.0,1.0,1.0,1.0,1.0
TASK_2_BINARY_HARDWARE,ACCUMULATED_89,ORACLE_PERMISSION_ABLATION,Logistic_Regression,3,71,18,1.0,1.0,1.0,1.0,1.0,1.0
TASK_2_BINARY_HARDWARE,ACCUMULATED_89,ORACLE_PERMISSION_ABLATION,Logistic_Regression,4,71,18,1.0,1.0,1.0,1.0,1.0,1.0
TASK_2_BINARY_HARDWARE,ACCUMULATED_89,ORACLE_PERMISSION_ABLATION,Logistic_Regression,5,72,17,1.0,1.0,1.0,1.0,1.0,1.0
TASK_2_BINARY_HARDWARE,ACCUMULATED_89,ORACLE_PERMISSION_ABLATION,Linear_SVM,1,71,18,1.0,1.0,1.0,1.0,1.0,1.0
TASK_2_BINARY_HARDWARE,ACCUMULATED_89,ORACLE_PERMISSION_ABLATION,Linear_SVM,2,71,18,1.0,1.0,1.0,1.0,1.0,1.0
TASK_2_BINARY_HARDWARE,ACCUMULATED_89,ORACLE_PERMISSION_ABLATION,Linear_SVM,3,71,18,1.0,1.0,1.0,1.0,1.0,1.0
TASK_2_BINARY_HARDWARE,ACCUMULATED_89,ORACLE_PERMISSION_ABLATION,Linear_SVM,4,71,18,1.0,1.0,1.0,1.0,1.0,1.0
TASK_2_BINARY_HARDWARE,ACCUMULATED_89,ORACLE_PERMISSION_ABLATION,Linear_SVM,5,72,17,1.0,1.0,1.0,1.0,1.0,1.0
TASK_2_BINARY_HARDWARE,ACCUMULATED_89,ORACLE_PERMISSION_ABLATION,Decision_Tree,1,71,18,1.0,1.0,1.0,1.0,1.0,1.0
TASK_2_BINARY_HARDWARE,ACCUMULATED_89,ORACLE_PERMISSION_ABLATION,Decision_Tree,2,71,18,1.0,1.0,1.0,1.0,1.0,1.0
TASK_2_BINARY_HARDWARE,ACCUMULATED_89,ORACLE_PERMISSION_ABLATION,Decision_Tree,3,71,18,1.0,1.0,1.0,1.0,1.0,1.0
TASK_2_BINARY_HARDWARE,ACCUMULATED_89,ORACLE_PERMISSION_ABLATION,Decision_Tree,4,71,18,1.0,1.0,1.0,1.0,1.0,1.0
TASK_2_BINARY_HARDWARE,ACCUMULATED_89,ORACLE_PERMISSION_ABLATION,Decision_Tree,5,72,17,1.0,1.0,1.0,1.0,1.0,1.0
TASK_2_BINARY_HARDWARE,ACCUMULATED_89,ORACLE_PERMISSION_ABLATION,Random_Forest,1,71,18,1.0,1.0,1.0,1.0,1.0,1.0
TASK_2_BINARY_HARDWARE,ACCUMULATED_89,ORACLE_PERMISSION_ABLATION,Random_Forest,2,71,18,1.0,1.0,1.0,1.0,1.0,1.0
TASK_2_BINARY_HARDWARE,ACCUMULATED_89,ORACLE_PERMISSION_ABLATION,Random_Forest,3,71,18,1.0,1.0,1.0,1.0,1.0,1.0
TASK_2_BINARY_HARDWARE,ACCUMULATED_89,ORACLE_PERMISSION_ABLATION,Random_Forest,4,71,18,1.0,1.0,1.0,1.0,1.0,1.0
TASK_2_BINARY_HARDWARE,ACCUMULATED_89,ORACLE_PERMISSION_ABLATION,Random_Forest,5,72,17,1.0,1.0,1.0,1.0,1.0,1.0
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,PRODUCTION_T0,Logistic_Regression,1,71,18,0.8888888888888888,0.8888888888888888,0.9047619047619048,0.8777777777777778,-1.0,-1.0
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,PRODUCTION_T0,Logistic_Regression,2,71,18,0.7777777777777778,0.8095238095238094,0.8095238095238094,0.7705627705627706,-1.0,-1.0
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,PRODUCTION_T0,Logistic_Regression,3,71,18,0.8888888888888888,0.9047619047619048,0.8968253968253969,0.8885003885003885,-1.0,-1.0
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,PRODUCTION_T0,Logistic_Regression,4,71,18,0.9444444444444444,0.9444444444444445,0.9444444444444445,0.9393939393939394,-1.0,-1.0
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,PRODUCTION_T0,Logistic_Regression,5,72,17,0.8823529411764706,0.8888888888888888,0.8968253968253969,0.8773892773892774,-1.0,-1.0
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,PRODUCTION_T0,Linear_SVM,1,71,18,0.8888888888888888,0.8888888888888888,0.9047619047619048,0.8777777777777778,-1.0,-1.0
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,PRODUCTION_T0,Linear_SVM,2,71,18,0.7777777777777778,0.8095238095238094,0.8095238095238094,0.7705627705627706,-1.0,-1.0
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,PRODUCTION_T0,Linear_SVM,3,71,18,0.8888888888888888,0.9047619047619048,0.8968253968253969,0.8885003885003885,-1.0,-1.0
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,PRODUCTION_T0,Linear_SVM,4,71,18,0.9444444444444444,0.9444444444444445,0.9444444444444445,0.9393939393939394,-1.0,-1.0
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,PRODUCTION_T0,Linear_SVM,5,72,17,0.8235294117647058,0.8571428571428571,0.8492063492063493,0.8232323232323232,-1.0,-1.0
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,PRODUCTION_T0,Decision_Tree,1,71,18,0.8888888888888888,0.8888888888888888,0.9047619047619048,0.8777777777777778,-1.0,-1.0
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,PRODUCTION_T0,Decision_Tree,2,71,18,0.7777777777777778,0.8095238095238094,0.8095238095238094,0.7705627705627706,-1.0,-1.0
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,PRODUCTION_T0,Decision_Tree,3,71,18,0.8888888888888888,0.9047619047619048,0.8968253968253969,0.8885003885003885,-1.0,-1.0
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,PRODUCTION_T0,Decision_Tree,4,71,18,0.9444444444444444,0.9444444444444445,0.9444444444444445,0.9393939393939394,-1.0,-1.0
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,PRODUCTION_T0,Decision_Tree,5,72,17,0.8235294117647058,0.8571428571428571,0.8492063492063493,0.8232323232323232,-1.0,-1.0
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,PRODUCTION_T0,Random_Forest,1,71,18,0.8333333333333334,0.8250000000000001,0.8214285714285715,0.8111111111111112,-1.0,-1.0
